"Language","original","english","spanish"
"STR_BZAD_ui_title","=== BrigadaZ Coastal Bus ===","=== BrigadaZ Coastal Bus ===","=== Bus Costero BrigadaZ ==="
"STR_BZAD_ui_stop","Stop:","Stop:","Parada:"
"STR_BZAD_ui_status","Status:","Status:","Estado:"
"STR_BZAD_ui_eta_now","ETA: The bus is here now.","ETA: The bus is here now.","ETA: El bus esta aqui ahora."
"STR_BZAD_ui_eta_soon","ETA: less than 1 minute","ETA: less than 1 minute","ETA: menos de 1 minuto"
"STR_BZAD_ui_eta_prefix","ETA: ~","ETA: ~","ETA: ~"
"STR_BZAD_ui_min","min","min","min"
"STR_BZAD_ui_sec","sec","sec","seg"
"STR_BZAD_ui_dist","Distance:","Distance:","Distancia:"
"STR_BZAD_ui_close","Press F or ESC to close.","Press F or ESC to close.","Presiona F o ESC para cerrar."
"STR_BZAD_ui_next_title","=== Next stops ===","=== Next stops ===","=== Proximas paradas ==="
"STR_BZAD_ui_no_route","(no route info)","(no route info)","(sin informacion de ruta)"
"STR_BZAD_ui_warn_title","=== Important notices ===","=== Important notices ===","=== Avisos importantes ==="
"STR_BZAD_ui_warn_intro","The bus is AI-driven and does NOT stop for unexpected obstacles. To avoid trouble, keep in mind:","The bus is AI-driven and does NOT stop for unexpected obstacles. To avoid trouble, keep in mind:","El bus es manejado por IA y NO se detiene ante obstaculos imprevistos. Para evitar problemas, tene presente:"
"STR_BZAD_ui_warn_1","Don't leave vehicles parked at the stops. The bus will collide on arrival.","Don't leave vehicles parked at the stops. The bus will collide on arrival.","No dejes vehiculos estacionados en las paradas. El bus va a colisionar al llegar."
"STR_BZAD_ui_warn_2","Don't leave abandoned vehicles on the route. The bus does not dodge them.","Don't leave abandoned vehicles on the route. The bus does not dodge them.","No dejes vehiculos abandonados sobre la ruta. El bus no los esquiva."
"STR_BZAD_ui_warn_3","Don't get in the bus's way. It does not brake for players or zombies.","Don't get in the bus's way. It does not brake for players or zombies.","No te interpongas en el camino del bus. No frena ante jugadores ni zombies."
"STR_BZAD_ui_warn_4","The bus is indestructible during service: if you crash into it, yours is the one that breaks.","The bus is indestructible during service: if you crash into it, yours is the one that breaks.","El bus es indestructible durante el servicio: si chocas con tu vehiculo, el que se rompe es el tuyo."
"STR_BZAD_ui_warn_5","To board, wait at the stop and sit in any passenger seat as soon as it stops.","To board, wait at the stop and sit in any passenger seat as soon as it stops.","Para subirte, esperalo en la parada y sentate en cualquier asiento de pasajero apenas se detenga."
"STR_BZAD_cp_title","BZ_AutoDrive - Control Panel","BZ_AutoDrive - Control Panel","BZ_AutoDrive - Panel de Control"
"STR_BZAD_cp_spawn","Spawn","Spawn","Spawnear"
"STR_BZAD_cp_stop","Stop","Stop","Detener"
"STR_BZAD_cp_reset","Reset","Reset","Reset"
"STR_BZAD_cp_pause","Pause / Resume","Pause / Resume","Pausa / Reanudar"
"STR_BZAD_cp_route","Route","Route","Ruta"
"STR_BZAD_cp_status","Status","Status","Estado"
"STR_BZAD_cp_route_default","Default (BZBusRoute.json)","Default (BZBusRoute.json)","Default (BZBusRoute.json)"
"STR_BZAD_cp_route_slot","Slot","Slot","Slot"
"STR_BZAD_cp_no_vehicle","no vehicle spawned","no vehicle spawned","sin vehiculo spawneado"
"STR_BZAD_cp_st_driving","Driving","Driving","Manejando"
"STR_BZAD_cp_st_stopped","Stopped","Stopped","Detenido"
"STR_BZAD_cp_st_paused","Paused","Paused","Pausado"
"STR_BZAD_cp_help","Spawn launches the selected route. Stop removes the vehicle. Reset respawns at wp 0. Pause freezes the run.","Spawn launches the selected route. Stop removes the vehicle. Reset respawns at wp 0. Pause freezes the run.","Spawn lanza la ruta seleccionada. Detener quita el vehiculo. Reset reaparece en wp 0. Pausa congela la corrida."
"STR_BZAD_cp_tab_vehicle","Vehicle","Vehicle","Vehiculo"
"STR_BZAD_cp_tab_record","Recording","Recording","Grabacion"
"STR_BZAD_cp_rec_state","Recorder","Recorder","Grabador"
"STR_BZAD_rec_off","off","off","apagado"
"STR_BZAD_rec_recording","RECORDING","RECORDING","GRABANDO"
"STR_BZAD_rec_paused","paused","paused","pausado"
"STR_BZAD_cp_rec_start","Record / Stop","Record / Stop","Grabar / Detener"
"STR_BZAD_cp_rec_pause","Pause / Resume","Pause / Resume","Pausar / Reanudar"
"STR_BZAD_cp_rec_mark","Mark event","Mark event","Marcar evento"
"STR_BZAD_cp_mode_label","Mode","Mode","Modo"
"STR_BZAD_cp_mode_normal","Normal","Normal","Normal"
"STR_BZAD_cp_mode_parking","Parking","Parking","Parking"
"STR_BZAD_cp_mode_maniobra","Maneuver","Maneuver","Maniobra"
"STR_BZAD_cp_mode_reverse","Reverse","Reverse","Reversa"
"STR_BZAD_cp_rec_help","Only one mode is active at a time. Normal: cruise (Stanley+FF). Parking: exact replay for fine maneuvers. Maneuver: replay for 90deg corners / roundabouts. Reverse: backward driving (vehicle must be stopped). Mark event tags the current waypoint as a stop.","Only one mode is active at a time. Normal: cruise (Stanley+FF). Parking: exact replay for fine maneuvers. Maneuver: replay for 90deg corners / roundabouts. Reverse: backward driving (vehicle must be stopped). Mark event tags the current waypoint as a stop.","Solo un modo activo a la vez. Normal: crucero (Stanley+FF). Parking: replay exacto para maniobras finas. Maniobra: replay para curvas 90grados / rotondas. Reversa: marcha atras (el vehiculo debe estar detenido). Marcar evento etiqueta el waypoint actual como parada."
"STR_BZAD_in_panel","Open Control Panel","Open Control Panel","Abrir Panel de Control"
"STR_BZAD_in_spawn","Spawn / Restart Bus","Spawn / Restart Bus","Spawnear / Reiniciar Bus"
"STR_BZAD_in_stop","Stop Bus","Stop Bus","Detener Bus"
"STR_BZAD_in_record","Record (start/stop)","Record (start/stop)","Grabar (start/stop)"
"STR_BZAD_in_recpause","Pause Recording","Pause Recording","Pausar Grabacion"
"STR_BZAD_in_markstop","Mark Stop","Mark Stop","Marcar Parada"
"STR_BZAD_in_parking","Parking Mode","Parking Mode","Modo Parking"
"STR_BZAD_in_reverse","Reverse Mode","Reverse Mode","Modo Reversa"
"STR_BZAD_in_maniobra","Maneuver Mode","Maneuver Mode","Modo Maniobra"
"STR_BZAD_in_pausebus","Pause Bus","Pause Bus","Pausar Bus"
"STR_BZAD_in_ailogger","AI Logger (debug)","AI Logger (debug)","AI Logger (debug)"
"STR_BZAD_in_aimark","AI Mark (debug)","AI Mark (debug)","Marca AI (debug)"
"STR_BZAD_in_markshift","Mark Gear Shift (tuning)","Mark Gear Shift (tuning)","Marcar Cambio de Marcha (calibracion)"
"STR_BZAD_in_markmax","Mark Max Speed (tuning)","Mark Max Speed (tuning)","Marcar Vel. Maxima (calibracion)"
"STR_BZAD_in_sysidstep","SysID Step (debug)","SysID Step (debug)","SysID Step (debug)"
"STR_BZAD_in_sysidcurve","SysID Curve (debug)","SysID Curve (debug)","SysID Curve (debug)"
"STR_BZAD_in_slot1","Spawn Slot 1","Spawn Slot 1","Spawn Slot 1"
"STR_BZAD_in_slot2","Spawn Slot 2","Spawn Slot 2","Spawn Slot 2"
"STR_BZAD_in_slot3","Spawn Slot 3","Spawn Slot 3","Spawn Slot 3"
"STR_BZAD_in_slot4","Spawn Slot 4","Spawn Slot 4","Spawn Slot 4"
"STR_BZAD_rp_routes","ROUTES","ROUTES","RUTAS"
"STR_BZAD_rp_runners","ACTIVE RUNNERS","ACTIVE RUNNERS","CORRIENDO"
"STR_BZAD_rp_load","LOAD & SPAWN","LOAD & SPAWN","CARGAR Y SPAWNEAR"
"STR_BZAD_rp_spawn_at","SPAWN EMPTY VEHICLE AT:","SPAWN EMPTY VEHICLE AT:","SPAWNEAR VEHICULO VACIO EN:"
"STR_BZAD_rp_start","START","START","INICIO"
"STR_BZAD_rp_here","SPAWN HERE","SPAWN HERE","SPAWN ACA"
"STR_BZAD_rp_end","END","END","FINAL"
"STR_BZAD_rp_pick","Select a route to see its info","Select a route to see its info","Elegi una toma para ver su info"
